ds,TimeLLM
2024-02-01,-0.0007217854
2024-03-01,-0.000987269
2024-04-01,-0.0018271673
2024-05-01,-0.0016857793
2024-06-01,-0.0006423282
2024-07-01,-0.00069091027
2024-08-01,-0.0019172314
2024-09-01,-0.0009880023
2024-10-01,-0.0012448463
2024-11-01,-0.0011570923
2024-12-01,-0.0007524233
2025-01-01,-0.001050396
2025-02-01,-0.0005377388
2025-03-01,-0.00086938863
2025-04-01,-0.0016238727
2025-05-01,-0.00058654445
2025-06-01,-0.00066712074
2025-07-01,4.3309792e-05
2025-08-01,-0.0007258622
2025-09-01,-0.0012547069
2025-10-01,0.00018125857
2025-11-01,-0.001565183
2025-12-01,-0.0013549282
